Date,Time,Latitude,Longitude,Location,Transect No,Repeat,N,Distance,Behaviour Raptor,Habitat,Topography,Poss_psr,
14/08/2015,12:54:36,-28.61641217,24.82962573,Dronfield,4,11,2,50-100m,Flying,Savanna,Mildly Undulating,No,
04/08/2015,12:41:23,-28.61728474,24.82081075,Dronfield,4,7,2,25-50m,Flying,Savanna,Flat,No,
17/07/2015,15:22:20,-28.61872933,24.81607142,Dronfield,4,5,1,100-200m,Flying,Dense Shrubland,Flat,No,
05/08/2015,16:37:03,-28.62627848,24.8053252,Dronfield,4,8,1,0-25m,Flying,Savanna,Mildly Undulating,No,
12/06/2015,13:26:31,-28.66500545,24.79672882,Dronfield,3,1,2,+200m,Flying,Savanna,Mildly Undulating,No,
16/06/2015,14:24:28,-28.66180685,24.79399118,Dronfield,3,3,2,25-50m,Flying,Savanna,Flat,Yes,
17/07/2015,12:30:37,-28.64577806,24.79318288,Dronfield,2,7,2,25-50m,Perching,Grassland,Flat,No,
13/07/2015,15:07:33,-28.66235215,24.79093179,Dronfield,3,9,2,+200m,Flying,Savanna,Flat,No,
06/07/2015,09:30:33,-28.65786374,24.78978018,Dronfield,2,4,1,0-25m,Flying,Savanna,Mildly Undulating,No,
10/08/2015,15:16:30,-28.64299251,24.78345968,Dronfield,2,11,1,+200m,Flying,Savanna,Flat,No,
16/06/2015,12:58:03,-28.65347722,24.78064459,Dronfield,3,3,2,25-50m,Flying,Savanna,Mildly Undulating,Yes,
12/07/2015,14:21:31,-28.65413825,24.77760782,Dronfield,3,8,1,50-100m,Flying,Savanna,Flat,No,
10/08/2015,17:00:21,-28.67001821,24.77722817,Dronfield,2,11,2,50-100m,Perching,Barren,Mildly Undulating,No,
27/07/2015,13:22:56,-28.66415679,24.77657315,Dronfield,2,8,1,50-100m,Flying,Grassland,Mildly Undulating,No,
17/07/2015,14:15:47,-28.61197197,24.7757581,Dronfield,1,5,1,100-200m,Flying,Sparse Shrubland,Flat,No,
30/06/2015,11:32:57,-28.65283995,24.77561405,Dronfield,3,6,2,25-50m,Flying,Savanna,Flat,No,
16/06/2015,12:55:47,-28.65359271,24.7756083,Dronfield,3,3,2,25-50m,Flying,Savanna,Flat,No,
22/06/2015,15:47:07,-28.64572164,24.77506644,Dronfield,2,2,1,25-50m,Flying,Savanna,Flat,No,
10/08/2015,14:31:31,-28.64465822,24.77475683,Dronfield,1,8,1,50-100m,Flying,Savanna,Flat,No,
17/07/2015,14:16:51,-28.61290244,24.77453368,Dronfield,1,5,1,100-200m,Flying,Sparse Shrubland,Flat,No,
10/08/2015,14:49:21,-28.61405555,24.77452337,Dronfield,1,8,2,50-100m,Perching,Savanna,Flat,Yes,
17/07/2015,14:05:42,-28.62869012,24.77314658,Dronfield,1,5,2,100-200m,Flying,Savanna,Mildly Undulating,No,
10/08/2015,14:40:33,-28.61097032,24.77104368,Dronfield,1,8,2,+200m,Flying,Savanna,Flat,No,
13/08/2015,11:13:05,-28.6042862,24.77097208,Dronfield,1,9,1,25-50m,Flying,Savanna,Flat,No,
28/06/2015,14:01:20,-28.60518786,24.77082898,Dronfield,1,2,1,0-25m,Flying,Savanna,Flat,No,
12/07/2015,13:13:53,-28.60422943,24.77080278,Dronfield,1,4,2,0-25m,Flying,Savanna,Flat,No,
21/07/2015,14:35:03,-29.04862001,24.49035101,Mokala,5,5,1,25-50m,Flying,Sparse Shrubland,Flat,No,
12/08/2015,14:53:42,-29.07274377,24.39267987,Mokala,7,14,1,+200m,Flying,Savanna,Flat,No,
12/08/2015,14:52:19,-29.06560901,24.39188827,Mokala,7,14,1,50-100m,Perching,Savanna,Flat,No,
11/08/2015,14:47:23,-29.0642702,24.39182348,Mokala,7,12,7,+200m,Flying,Savanna,Flat,No,
09/07/2015,09:23:48,-29.00332882,24.38460445,Mokala,7,1,1,100-200m,Flying,Savanna,Flat,Yes,
16/07/2015,11:56:18,-29.02598446,24.38380667,Mokala,7,3,2,50-100m,Flying,Savanna,Flat,No,
25/07/2015,09:44:02,-29.02303463,24.38378513,Mokala,7,7,1,25-50m,Flying,Savanna,Flat,No,
16/07/2015,12:01:54,-29.01568979,24.38068954,Mokala,7,3,1,+200m,Flying,Savanna,Flat,No,
18/06/2015,09:22:41,-29.01470493,24.37827073,Mokala,7,1,4,50-100m,Flying,Savanna,Flat,No,
24/07/2015,10:15:16,-29.01416038,24.3761264,Mokala,7,6,1,25-50m,Perching,Savanna,Flat,No,
14/07/2015,14:59:44,-29.17705031,24.35845336,Mokala,6,4,1,25-50m,Flying,Sparse Shrubland,Flat,Yes,
12/08/2015,08:24:09,-29.17620557,24.35572832,Mokala,6,6,2,50-100m,Flying,Sparse Shrubland,Mildly Undulating,No,
14/07/2015,14:36:15,-29.17689968,24.35486787,Mokala,6,5,2,0-25m,Perching,Sparse Shrubland,Mildly Undulating,No,
20/07/2015,14:56:48,-29.17792896,24.35248766,Mokala,6,4,1,25-50m,Flying,Dense Shrubland,Mildly Undulating,No,
